OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
244178,495177,US,MA,25.0,23.0,25023.0,1,C,Bridgewater,0.0,-70.9658652946097,41.985417433887
244189,495186,US,NH,33.0,15.0,33015.0,1,A,Exeter,0.0,-70.9593175688269,42.9803698092842
244203,495187,US,MA,25.0,21.0,25021.0,1,C,South Weymouth,0.0,-70.9531128584471,42.1547629509121
244214,495191,US,MA,25.0,9.0,25009.0,1,C,Lynn,0.0,-70.9456279886003,42.4627774098095
244233,495206,US,NH,33.0,17.0,33017.0,1,A,Durham,0.0,-70.936166627499,43.1397997775342
244239,495212,US,MA,25.0,23.0,25023.0,1,C,Abington,0.0,-70.9341818394047,42.1065649972185
244276,497498,US,MA,25.0,23.0,25023.0,1,C,Whitman,0.0,-70.923271136424,42.0825852369402
244291,495231,US,MA,25.0,9.0,25009.0,1,C,Swampscott,0.0,-70.9225434372635,42.4737298751599
244293,495233,US,MA,25.0,21.0,25021.0,1,C,East Weymouth,0.0,-70.9222305190158,42.2194000003881
244310,495243,US,MA,25.0,23.0,25023.0,1,C,Middleborough/Lakeville,0.0,-70.9183563987074,41.8782754801174
244316,495248,US,MA,25.0,23.0,25023.0,1,C,West Hingham,0.0,-70.9027296384015,42.2356838880818
244325,495257,US,MA,25.0,9.0,25009.0,1,C,Salem,0.0,-70.895789205109,42.524748870531
244332,495260,US,MA,25.0,9.0,25009.0,1,C,Beverly,0.0,-70.8854202104993,42.5472577575235
244339,495262,US,MA,25.0,9.0,25009.0,1,C,North Beverly,0.0,-70.8837090887663,42.5839317522128
244353,495263,US,MA,25.0,23.0,25023.0,1,C,Hanson,0.0,-70.8821192333084,42.0437829194732
244403,495267,US,MA,25.0,9.0,25009.0,1,C,Newburyport,0.0,-70.8778581627931,42.7976672058094
244411,495268,US,NH,33.0,17.0,33017.0,1,A,Dover,0.0,-70.8768253912705,43.1986376214645
244425,495272,US,MA,25.0,9.0,25009.0,1,C,Hamilton/Wenham,0.0,-70.8746938301368,42.6095550005472
